mutation_rate,iterations_number,population_size, number_of_cities,average_solution_distance
0.4,10,100,100,0.009205735030689879
0.4,10,100,200,0.0043918049858424485
0.4,10,200,10,0.11734372010689402
0.4,10,200,100,0.009359362699778403
0.4,10,200,200,0.004433084194609571
0.4,100,10,10,0.11846071322713594
0.4,100,10,100,0.009017782138678463
0.4,100,10,200,0.004327365565261339
0.4,100,100,10,0.13608737680339233
0.4,100,100,100,0.0095078675617415
0.4,100,100,200,0.00451435885530982
0.4,100,200,10,0.13707243319599519
0.4,100,200,100,0.009795259178557994
0.4,100,200,200,0.004516344670219654
0.4,200,10,10,0.1238626073429439
0.4,200,10,100,0.00905545796784934
0.4,200,10,200,0.004355752596594842
0.4,200,100,10,0.14201862633179402
0.4,200,100,100,0.009696495582035097
0.4,200,100,200,0.004569534099014042
0.4,200,200,10,0.15685720573919065
0.4,200,200,100,0.00974287083710465
0.4,200,200,200,0.0045652372736724265
0.5,10,10,10,0.09953043446128382
0.5,10,10,100,0.008543222530675267
0.5,10,10,200,0.0042401504817128595
0.5,10,100,10,0.119700284894665
0.5,10,100,100,0.009173764033983307
0.5,10,100,200,0.004429716291294997
0.5,10,200,10,0.12430128090531442
0.5,10,200,100,0.009427058068950327
0.5,10,200,200,0.004393958844708746
0.5,100,10,10,0.11335622386045925
0.5,100,10,100,0.009093291059478117
0.5,100,10,200,0.0043330349003945735
0.5,100,100,10,0.13410680843179432
0.5,100,100,100,0.009700900928207447
0.5,100,100,200,0.004508921665254491
0.5,100,200,10,0.13410680843179432
0.5,100,200,100,0.009896900646224718
0.5,100,200,200,0.004551762358119467
0.5,200,10,10,0.1285213131074125
0.5,200,10,100,0.009376510089732911
0.5,200,10,200,0.0043593703429435126
0.5,200,100,10,0.14201862633179405
0.5,200,100,100,0.009842663588673143
0.5,200,100,200,0.004554049894277679
0.5,200,200,10,0.14201862633179402
0.5,200,200,100,0.00976265337086151
0.5,200,200,200,0.004599136993623796
0.6000000000000001,10,10,10,0.09749506168585462
0.6000000000000001,10,10,100,0.008737604000949174
0.6000000000000001,10,10,200,0.004208993877563854
0.6000000000000001,10,100,10,0.1077562669462572
0.6000000000000001,10,100,100,0.009229307821177413
0.6000000000000001,10,100,200,0.004358124398243193
0.6000000000000001,10,200,10,0.12353273610349118
0.6000000000000001,10,200,100,0.009349435633799249
0.6000000000000001,10,200,200,0.0044130351753217
0.6000000000000001,100,10,10,0.11289208659939554
0.6000000000000001,100,10,100,0.008998448058384298
0.6000000000000001,100,10,200,0.0043852497553629145
0.6000000000000001,100,100,10,0.13707243319599516
0.6000000000000001,100,100,100,0.009819388816989726
0.6000000000000001,100,100,200,0.004496053966737311
