mutation_rate,iterations_number,population_size, number_of_cities,average_solution_distance
0.2,100,200,100,0.009220056371510918
0.2,100,200,200,0.004443999477384126
0.2,200,10,10,0.09940942094040597
0.2,200,10,100,0.008685413549326393
0.2,200,10,200,0.004317362494573367
0.2,200,100,10,0.11789465461594088
0.2,200,100,100,0.009182712981336499
0.2,200,100,200,0.004367150456174955
0.2,200,200,10,0.11388339284673692
0.2,200,200,100,0.009330145568346682
0.2,200,200,200,0.004482594352240909
0.30000000000000004,10,10,10,0.09802311655181183
0.30000000000000004,10,10,100,0.008805735495240056
0.30000000000000004,10,10,200,0.004248812212440396
0.30000000000000004,10,100,10,0.1064742026949882
0.30000000000000004,10,100,100,0.009040618510030223
0.30000000000000004,10,100,200,0.00433556927125281
0.30000000000000004,10,200,10,0.10968641437370186
0.30000000000000004,10,200,100,0.009152914691661995
0.30000000000000004,10,200,200,0.004388972695664967
0.30000000000000004,100,10,10,0.10044899153314508
0.30000000000000004,100,10,100,0.008913149153036632
0.30000000000000004,100,10,200,0.004287857182572257
0.30000000000000004,100,100,10,0.10911295099213217
0.30000000000000004,100,100,100,0.00917306999988855
0.30000000000000004,100,100,200,0.004401449024515086
0.30000000000000004,100,200,10,0.11124187958257876
0.30000000000000004,100,200,100,0.009296652728526842
0.30000000000000004,100,200,200,0.004429948583972485
0.30000000000000004,200,10,10,0.10964671248999554
0.30000000000000004,200,10,100,0.008674472580499503
0.30000000000000004,200,10,200,0.004272353286308587
0.30000000000000004,200,100,10,0.10765149172957453
0.30000000000000004,200,100,100,0.00906780495856978
0.30000000000000004,200,100,200,0.004374813183558505
0.30000000000000004,200,200,10,0.11321436975501915
0.30000000000000004,200,200,100,0.009245559528523687
0.30000000000000004,200,200,200,0.004397690590918638
0.4,10,10,10,0.09485275144508212
0.4,10,10,100,0.008615085178604192
0.4,10,10,200,0.004209912998730944
0.4,10,100,10,0.1106115828365016
0.4,10,100,100,0.009059980301714742
0.4,10,100,200,0.00435723823204189
0.4,10,200,10,0.10618265593212514
0.4,10,200,100,0.009327123972655785
0.4,10,200,200,0.004423564813937452
0.4,100,10,10,0.10737380954363598
0.4,100,10,100,0.008871589991254219
0.4,100,10,200,0.004199059954427947
0.4,100,100,10,0.1116698851649115
0.4,100,100,100,0.009197198515554715
0.4,100,100,200,0.0043800692032904725
0.4,100,200,10,0.11978027222412427
0.4,100,200,100,0.009226306548470564
0.4,100,200,200,0.00440836660542864
0.4,200,10,10,0.1026411024845286
0.4,200,10,100,0.008929776710252097
0.4,200,10,200,0.004263664019757005
0.4,200,100,10,0.10993488188667636
0.4,200,100,100,0.009285466908336525
0.4,200,100,200,0.004441844287045494
0.4,200,200,10,0.12158188863502797
0.4,200,200,100,0.009305636260398126
0.4,200,200,200,0.004406572123767601
0.5,10,10,10,0.09064054656481843
0.5,10,10,100,0.008567391492144114
0.5,10,10,200,0.004141254513013478
0.5,10,100,10,0.1042303385729263
0.5,10,100,100,0.009085565178097617
0.5,10,100,200,0.0043430754296773415
0.5,10,200,10,0.10744279468343843
0.5,10,200,100,0.009201859121037444
0.5,10,200,200,0.004378477490956961
0.5,100,10,10,0.10222156006198464
0.5,100,10,100,0.008780475137351564
0.5,100,10,200,0.0042022257288224715
0.5,100,100,10,0.11289208659939551
0.5,100,100,100,0.009235104607776547
0.5,100,100,200,0.004366499704075164
0.5,100,200,10,0.1301720102395578
0.5,100,200,100,0.009253392006958348
0.5,100,200,200,0.004466349160521149
0.5,200,10,10,0.10352850945297747
0.5,200,10,100,0.008767266407160005
0.5,200,10,200,0.00427068240861557
0.5,200,100,10,0.10961647655546973
0.5,200,100,100,0.009124006971120464
0.5,200,100,200,0.004358639476429898
0.5,200,200,10,0.11983285838729274
0.5,200,200,100,0.009257429452960358
0.5,200,200,200,0.004407219795224923
0.6000000000000001,10,10,10,0.09802536322782439
0.6000000000000001,10,10,100,0.008637526881500029
0.6000000000000001,10,10,200,0.00416288213823872
0.6000000000000001,10,100,10,0.10397997705662321
0.6000000000000001,10,100,100,0.00900708362821316
0.6000000000000001,10,100,200,0.004346500346649144
0.6000000000000001,10,200,10,0.11321436975501917
0.6000000000000001,10,200,100,0.009114828433660346
0.6000000000000001,10,200,200,0.004422282457997272
0.6000000000000001,100,10,10,0.10201866972027548
0.6000000000000001,100,10,100,0.008794686811945911
0.6000000000000001,100,10,200,0.004261860490586687
0.6000000000000001,100,100,10,0.10715725647420445
0.6000000000000001,100,100,100,0.0091654962614847
0.6000000000000001,100,100,200,0.004391580479884882
0.6000000000000001,100,200,10,0.1095744551541086
0.6000000000000001,100,200,100,0.009315245440089565
0.6000000000000001,100,200,200,0.0043682268359816765
0.6000000000000001,200,10,10,0.10933819736313843
0.6000000000000001,200,10,100,0.00877380312134527
0.6000000000000001,200,10,200,0.004285384840602368
0.6000000000000001,200,100,10,0.11288387175115837
0.6000000000000001,200,100,100,0.00904062808254151
0.6000000000000001,200,100,200,0.004369533250688382
0.6000000000000001,200,200,10,0.11515571617547456
0.6000000000000001,200,200,100,0.009498076206508249
0.6000000000000001,200,200,200,0.004432956865917121
0.7000000000000001,10,10,10,0.09422809252080909
0.7000000000000001,10,10,100,0.008691545101695935
0.7000000000000001,10,10,200,0.004154002811743655
0.7000000000000001,10,100,10,0.11616411155465285
0.7000000000000001,10,100,100,0.008971362300259831
0.7000000000000001,10,100,200,0.004349229901987396
0.7000000000000001,10,200,10,0.10915418586066519
0.7000000000000001,10,200,100,0.009199799904593157
0.7000000000000001,10,200,200,0.00435873276338849
0.7000000000000001,100,10,10,0.10616104237974507
0.7000000000000001,100,10,100,0.008839441023668392
0.7000000000000001,100,10,200,0.004242496180199606
0.7000000000000001,100,100,10,0.11065117398960636
0.7000000000000001,100,100,100,0.009087815385148284
0.7000000000000001,100,100,200,0.0043964853983503365
0.7000000000000001,100,200,10,0.11444466080973588
0.7000000000000001,100,200,100,0.009362719213185646
0.7000000000000001,100,200,200,0.004463688361625841
0.7000000000000001,200,10,10,0.10752084236096357
0.7000000000000001,200,10,100,0.00897970714797566
0.7000000000000001,200,10,200,0.004292767524492104
0.7000000000000001,200,100,10,0.11164717471933265
0.7000000000000001,200,100,100,0.009283016356676206
0.7000000000000001,200,100,200,0.004474925818998374
0.7000000000000001,200,200,10,0.12719710486254462
0.7000000000000001,200,200,100,0.00923763532856819
0.7000000000000001,200,200,200,0.004414933914803446
0.8,10,10,10,0.0975151794585414
0.8,10,10,100,0.008697315228363449
0.8,10,10,200,0.004161307495963129
0.8,10,100,10,0.10526771703987645
0.8,10,100,100,0.009137719909737142
0.8,10,100,200,0.004343311981868964
0.8,10,200,10,0.11379250641465952
0.8,10,200,100,0.009273093231636057
0.8,10,200,200,0.004340867287836654
0.8,100,10,10,0.10030582213029667
0.8,100,10,100,0.008938066336512417
0.8,100,10,200,0.004234870337688543
0.8,100,100,10,0.11191051555713574
0.8,100,100,100,0.009172055360860975
0.8,100,100,200,0.004429979908441651
0.8,100,200,10,0.11846071322713594
0.8,100,200,100,0.009331083759393784
0.8,100,200,200,0.004400633116735421
0.8,200,10,10,0.10758109192796206
0.8,200,10,100,0.009009801720976107
0.8,200,10,200,0.0042480351646992
0.8,200,100,10,0.11185206791846596
0.8,200,100,100,0.009227661946785317
0.8,200,100,200,0.004372531790344825
0.8,200,200,10,0.11254737958957464
0.8,200,200,100,0.009220125443305697
0.8,200,200,200,0.004427731620549576
0.9,10,10,10,0.09688748038879161
0.9,10,10,100,0.008731943964516639
0.9,10,10,200,0.004202628705570288
0.9,10,100,10,0.10636509271349617
0.9,10,100,100,0.009205474443051958
0.9,10,100,200,0.004326766989446352
0.9,10,200,10,0.10919315621312253
0.9,10,200,100,0.009207066337413748
0.9,10,200,200,0.0044028129128867634
0.9,100,10,10,0.10072470815941648
0.9,100,10,100,0.00870085170129677
0.9,100,10,200,0.004236443010685307
0.9,100,100,10,0.11487849208137146
0.9,100,100,100,0.00925234182752294
0.9,100,100,200,0.0043691953667483446
0.9,100,200,10,0.11469405458938083
0.9,100,200,100,0.009256109332664908
0.9,100,200,200,0.004396629214174353
0.9,200,10,10,0.10559000019550009
0.9,200,10,100,0.008855427999131828
0.9,200,10,200,0.0042449600302156216
0.9,200,100,10,0.10651966855084191
0.9,200,100,100,0.009246980087977485
0.9,200,100,200,0.004325607902744971
0.9,200,200,10,0.11349355849199634
0.9,200,200,100,0.009279814503348074
0.9,200,200,200,0.004365420158325414
